RowID,OrderID,OrderDate,OrderWeekday,OrderMonth,OrderQuarter,OrderYear,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,AddressID,ProductID,Category,SubCategory,ProductName,SupplierPrice,Quantity,SalePrice,Discount,Profit
2718,CA-2014-100006,2014-09-07,Sun,9,Q3,2014,9/13/2014,Standard Class,DK-13375,Dennis Kane,Consumer,United States,New York City,New York,10024,East,24,TEC-PH-10002075,Technology,Phones,AT&T EL51110 DECT,89.45,3,377.97,0.0,109.61
6288,CA-2014-100090,2014-07-08,Tue,7,Q3,2014,7/12/2014,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,35,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,196.81,3,502.49,0.2,-87.94
6289,CA-2014-100090,2014-07-08,Tue,7,Q3,2014,7/12/2014,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,35,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",21.31,6,196.7,0.2,68.85
9515,CA-2014-100293,2014-03-14,Fri,3,Q1,2014,3/18/2014,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Jacksonville,Florida,32216,South,134,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,9.86,6,91.06,0.2,31.87
3084,CA-2014-100328,2014-01-28,Tue,1,Q1,2014,2/3/2014,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,24,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.6,1,3.93,0.2,1.33
3836,CA-2014-100363,2014-04-08,Tue,4,Q2,2014,4/15/2014,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,277,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,0.77,2,2.37,0.2,0.83
3837,CA-2014-100363,2014-04-08,Tue,4,Q2,2014,4/15/2014,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,277,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,4.04,3,19.01,0.2,6.89
9441,CA-2014-100391,2014-05-25,Sun,5,Q2,2014,5/29/2014,Standard Class,BW-11065,Barry Weirich,Consumer,United States,New York City,New York,10035,East,46,OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,3.95,2,14.62,0.0,6.73
6570,CA-2014-100678,2014-04-18,Fri,4,Q2,2014,4/22/2014,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,15,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,111.73,3,317.06,0.3,-18.12
6569,CA-2014-100678,2014-04-18,Fri,4,Q2,2014,4/22/2014,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,15,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,0.84,2,2.69,0.2,1.01
6571,CA-2014-100678,2014-04-18,Fri,4,Q2,2014,4/22/2014,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,15,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,32.98,3,149.35,0.2,50.41
6572,CA-2014-100678,2014-04-18,Fri,4,Q2,2014,4/22/2014,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,15,TEC-AC-10000474,Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,66.49,3,227.98,0.2,28.5
9021,CA-2014-100706,2014-12-16,Tue,12,Q4,2014,12/18/2014,Second Class,LE-16810,Laurel Elliston,Consumer,United States,Springfield,Virginia,22153,South,29,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,3.29,6,29.46,0.0,9.72
