OrderID,RowID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,AddressID,ProductID,Category,SubCategory,ProductName,SupplierPrice,Quantity,SalePrice,Discount,Profit,OrderYear,OrderMonth
CA-2014-100006,2718,2014-09-07,9/13/2014,Standard Class,DK-13375,Dennis Kane,Consumer,United States,New York City,New York,10024,East,024,TEC-PH-10002075,Technology,Phones,AT&T EL51110 DECT,89.45,3,377.97,0.0,109.61,2014,9
CA-2014-100090,6288,2014-07-08,7/12/2014,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,035,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,196.81,3,502.49,0.2,-87.94,2014,7
CA-2014-100090,6289,2014-07-08,7/12/2014,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,035,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",21.31,6,196.7,0.2,68.85,2014,7
CA-2014-100293,9515,2014-03-14,3/18/2014,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Jacksonville,Florida,32216,South,134,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,9.86,6,91.06,0.2,31.87,2014,3
CA-2014-100328,3084,2014-01-28,2/3/2014,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,024,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.6,1,3.93,0.2,1.33,2014,1
CA-2014-100363,3836,2014-04-08,4/15/2014,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,277,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,0.77,2,2.37,0.2,0.83,2014,4
CA-2014-100363,3837,2014-04-08,4/15/2014,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,277,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,4.04,3,19.01,0.2,6.89,2014,4
CA-2014-100391,9441,2014-05-25,5/29/2014,Standard Class,BW-11065,Barry Weirich,Consumer,United States,New York City,New York,10035,East,046,OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,3.95,2,14.62,0.0,6.73,2014,5
CA-2014-100678,6570,2014-04-18,4/22/2014,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,015,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,111.73,3,317.06,0.3,-18.12,2014,4
CA-2014-100678,6569,2014-04-18,4/22/2014,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,015,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,0.84,2,2.69,0.2,1.01,2014,4
